Age,Education_num,Race,Sex,Hours_per_week,>50k,Class_ind,Occupation_ind
25,7,Black,0,40,0,1,1
38,9,White,0,50,0,1,1
28,12,White,0,40,1,1,1
44,10,Black,0,40,1,1,1
18,10,White,1,30,0,0,0
34,6,White,0,30,0,1,1
29,9,Black,0,40,0,0,0
63,15,White,0,32,1,1,1
24,10,White,1,40,0,1,1
55,4,White,0,10,0,1,1
65,9,White,0,40,1,1,1
36,13,White,0,40,0,1,1
26,9,White,1,39,0,1,1
58,9,White,0,35,0,0,0
48,9,White,0,48,1,1,1
43,14,White,0,50,1,1,1
20,10,White,0,25,0,1,1
43,9,White,1,30,0,1,1
37,9,White,1,20,0,1,1
40,16,Asian-Pac-Islander,0,45,1,1,1
34,13,White,0,47,1,1,1
34,10,Black,1,35,0,1,1
72,4,White,1,6,0,0,0
25,13,White,0,43,0,1,1
25,13,White,0,40,0,1,1
45,9,White,0,90,1,1,1
22,9,White,0,20,0,1,1
23,9,Black,0,54,0,1,1
54,9,White,0,35,0,1,1
32,10,White,0,60,0,1,1
46,10,Black,0,38,1,1,1
56,7,White,1,50,0,1,1
24,13,White,0,50,0,1,1
23,10,White,0,40,0,1,1
26,9,White,1,40,0,1,1
65,9,White,0,40,0,0,0
36,13,White,0,40,1,1,1
22,3,White,0,50,0,1,1
17,6,White,0,40,0,1,1
20,9,White,0,40,0,1,1
65,14,White,0,50,1,1,1
44,11,White,0,45,1,1,1
36,9,White,0,40,0,1,1
29,7,White,0,40,0,1,1
20,10,White,0,32,0,1,1
28,11,White,1,36,1,1,1
39,4,White,0,40,0,1,1
54,10,White,0,50,0,1,1
52,7,Black,1,18,0,1,1
56,9,White,1,50,0,1,1
18,10,White,0,20,0,1,1
39,9,Black,0,40,0,1,1
21,10,White,1,24,0,1,1
22,9,White,0,60,1,1,1
38,5,White,0,54,0,1,1
21,10,White,1,40,0,1,1
63,9,White,0,40,0,1,1
34,13,White,0,50,1,1,1
42,9,White,0,50,1,1,1
33,9,White,0,40,0,1,1
30,13,White,1,50,0,1,1
39,10,White,0,40,0,1,1
26,14,White,1,40,0,1,1
33,9,White,1,40,0,1,1
47,9,White,1,40,0,1,1
41,13,White,1,40,0,1,1
41,12,White,0,60,1,1,1
19,10,White,0,20,0,1,1
46,9,White,0,40,0,1,1
43,9,White,0,48,0,1,1
55,10,White,0,45,1,1,1
46,11,White,0,40,0,1,1
30,9,White,0,40,0,1,1
21,10,White,1,40,0,1,1
46,10,Other,0,40,0,1,1
17,6,White,0,40,0,0,0
41,9,White,0,50,0,1,1
69,9,White,0,30,0,1,1
50,9,White,0,40,0,1,1
20,10,White,1,40,0,1,1
45,10,White,0,50,0,1,1
23,13,White,0,40,0,1,1
24,10,White,0,40,0,1,1
44,9,White,0,50,1,1,1
31,10,White,0,50,0,1,1
43,9,White,1,44,0,1,1
20,7,White,1,10,0,1,1
55,9,White,0,56,1,1,1
24,10,White,0,40,0,1,1
41,14,White,1,10,1,0,0
59,13,White,1,25,0,1,1
49,4,Black,0,20,0,1,1
33,14,White,1,10,1,1,1
59,13,White,0,40,0,1,1
34,14,Amer-Indian-Eskimo,0,40,0,1,1
20,9,White,0,40,0,1,1
25,13,White,1,40,0,1,1
49,6,White,0,40,0,1,1
59,9,White,0,40,1,1,1
20,9,White,1,40,0,1,1
51,10,White,1,18,0,0,0
33,10,Black,1,35,0,1,1
22,10,Black,0,39,0,1,1
58,5,White,1,40,0,1,1
52,9,White,1,28,0,1,1
36,6,White,1,40,0,1,1
41,9,White,0,40,0,1,1
28,9,White,0,40,0,1,1
19,10,Black,0,16,0,1,1
18,9,White,1,28,0,1,1
18,9,White,1,48,0,1,1
28,10,White,0,40,0,1,1
29,11,White,0,40,1,1,1
20,9,White,1,20,0,0,0
40,10,White,0,40,0,1,1
26,9,White,0,40,0,1,1
46,9,White,0,40,0,1,1
23,7,White,1,24,0,1,1
44,9,White,1,40,0,1,1
43,13,White,1,40,1,1,1
31,13,White,1,60,0,1,1
18,10,White,1,25,0,1,1
19,10,White,0,30,0,1,1
41,10,White,1,40,0,1,1
41,9,White,1,40,0,1,1
69,9,White,1,25,0,1,1
48,16,White,1,40,1,1,1
28,9,White,0,40,0,1,1
27,9,White,0,60,1,1,1
41,14,White,0,50,1,1,1
41,10,White,0,40,0,1,1
24,9,Black,1,40,0,1,1
20,9,White,1,40,0,0,0
42,16,White,0,41,1,1,1
57,9,Black,0,48,0,1,1
30,12,White,1,40,0,1,1
36,9,White,0,60,1,1,1
49,4,Black,0,40,0,1,1
33,9,White,1,35,0,1,1
23,6,White,0,40,0,1,1
46,14,White,0,40,0,1,1
18,10,Asian-Pac-Islander,1,22,0,1,1
40,9,White,0,55,1,1,1
43,9,White,0,45,1,1,1
34,14,White,1,30,0,1,1
47,9,White,1,30,0,1,1
44,11,White,1,30,0,1,1
33,9,White,0,40,1,1,1
55,13,White,0,50,1,1,1
19,9,White,0,30,0,1,1
28,10,Black,0,14,0,1,1
27,7,Black,1,32,0,1,1
50,4,White,0,20,0,1,1
22,7,White,0,40,0,1,1
40,13,White,0,45,1,1,1
25,10,White,1,40,0,1,1
26,9,White,0,40,0,1,1
22,13,White,0,25,0,1,1
42,10,Black,1,40,0,1,1
38,13,White,0,40,0,1,1
55,7,White,0,30,0,1,1
32,9,White,0,40,0,1,1
22,9,White,0,45,0,1,1
29,13,White,0,40,0,1,1
46,14,White,0,45,1,1,1
31,10,White,0,40,1,1,1
58,16,White,0,16,1,1,1
42,9,White,0,45,0,1,1
18,9,White,0,25,0,1,1
58,9,White,0,33,0,1,1
54,9,White,0,40,1,1,1
34,14,White,0,40,0,1,1
26,13,White,1,40,0,1,1
61,8,White,0,60,0,1,1
48,14,Black,1,40,0,1,1
36,10,White,0,45,1,1,1
24,11,White,0,45,0,1,1
40,10,White,0,37,0,1,1
33,9,White,0,50,1,1,1
37,10,White,0,40,1,1,1
34,14,White,0,40,0,1,1
56,10,White,0,40,1,1,1
28,9,White,1,38,1,0,0
37,13,White,1,55,0,1,1
44,9,Black,1,40,0,1,1
64,10,White,0,8,0,0,0
54,9,White,0,45,0,1,1
