,Age,Education_num,Race,Sex,Hours_per_week,>50k,Class_ind,Occupation_ind
0,25,7,1,0,40,0,1,1
1,38,9,0,0,50,0,1,1
2,28,12,0,0,40,1,1,1
3,44,10,1,0,40,1,1,1
4,18,10,0,1,30,0,0,0
5,34,6,0,0,30,0,1,1
6,29,9,1,0,40,0,0,0
7,63,15,0,0,32,1,1,1
8,24,10,0,1,40,0,1,1
9,55,4,0,0,10,0,1,1
10,65,9,0,0,40,1,1,1
11,36,13,0,0,40,0,1,1
12,26,9,0,1,39,0,1,1
13,58,9,0,0,35,0,0,0
14,48,9,0,0,48,1,1,1
15,43,14,0,0,50,1,1,1
16,20,10,0,0,25,0,1,1
17,43,9,0,1,30,0,1,1
18,37,9,0,1,20,0,1,1
19,40,16,3,0,45,1,1,1
20,34,13,0,0,47,1,1,1
21,34,10,1,1,35,0,1,1
22,72,4,0,1,6,0,0,0
23,25,13,0,0,43,0,1,1
24,25,13,0,0,40,0,1,1
25,45,9,0,0,90,1,1,1
26,22,9,0,0,20,0,1,1
27,23,9,1,0,54,0,1,1
28,54,9,0,0,35,0,1,1
29,32,10,0,0,60,0,1,1
30,46,10,1,0,38,1,1,1
31,56,7,0,1,50,0,1,1
32,24,13,0,0,50,0,1,1
33,23,10,0,0,40,0,1,1
34,26,9,0,1,40,0,1,1
35,65,9,0,0,40,0,0,0
36,36,13,0,0,40,1,1,1
37,22,3,0,0,50,0,1,1
38,17,6,0,0,40,0,1,1
39,20,9,0,0,40,0,1,1
40,65,14,0,0,50,1,1,1
41,44,11,0,0,45,1,1,1
42,36,9,0,0,40,0,1,1
43,29,7,0,0,40,0,1,1
44,20,10,0,0,32,0,1,1
45,28,11,0,1,36,1,1,1
46,39,4,0,0,40,0,1,1
47,54,10,0,0,50,0,1,1
48,52,7,1,1,18,0,1,1
49,56,9,0,1,50,0,1,1
50,18,10,0,0,20,0,1,1
51,39,9,1,0,40,0,1,1
52,21,10,0,1,24,0,1,1
53,22,9,0,0,60,1,1,1
54,38,5,0,0,54,0,1,1
55,21,10,0,1,40,0,1,1
56,63,9,0,0,40,0,1,1
57,34,13,0,0,50,1,1,1
58,42,9,0,0,50,1,1,1
59,33,9,0,0,40,0,1,1
60,30,13,0,1,50,0,1,1
61,39,10,0,0,40,0,1,1
62,26,14,0,1,40,0,1,1
63,33,9,0,1,40,0,1,1
64,47,9,0,1,40,0,1,1
65,41,13,0,1,40,0,1,1
66,41,12,0,0,60,1,1,1
67,19,10,0,0,20,0,1,1
68,46,9,0,0,40,0,1,1
69,43,9,0,0,48,0,1,1
70,55,10,0,0,45,1,1,1
71,46,11,0,0,40,0,1,1
72,30,9,0,0,40,0,1,1
73,21,10,0,1,40,0,1,1
74,46,10,4,0,40,0,1,1
75,17,6,0,0,40,0,0,0
76,41,9,0,0,50,0,1,1
77,69,9,0,0,30,0,1,1
78,50,9,0,0,40,0,1,1
79,20,10,0,1,40,0,1,1
80,45,10,0,0,50,0,1,1
81,23,13,0,0,40,0,1,1
82,24,10,0,0,40,0,1,1
83,44,9,0,0,50,1,1,1
84,31,10,0,0,50,0,1,1
85,43,9,0,1,44,0,1,1
86,20,7,0,1,10,0,1,1
87,55,9,0,0,56,1,1,1
88,24,10,0,0,40,0,1,1
89,41,14,0,1,10,1,0,0
90,59,13,0,1,25,0,1,1
91,49,4,1,0,20,0,1,1
92,33,14,0,1,10,1,1,1
93,59,13,0,0,40,0,1,1
94,34,14,2,0,40,0,1,1
95,20,9,0,0,40,0,1,1
96,25,13,0,1,40,0,1,1
97,49,6,0,0,40,0,1,1
98,59,9,0,0,40,1,1,1
99,20,9,0,1,40,0,1,1
100,51,10,0,1,18,0,0,0
101,33,10,1,1,35,0,1,1
102,22,10,1,0,39,0,1,1
103,58,5,0,1,40,0,1,1
104,52,9,0,1,28,0,1,1
105,36,6,0,1,40,0,1,1
106,41,9,0,0,40,0,1,1
107,28,9,0,0,40,0,1,1
108,19,10,1,0,16,0,1,1
109,18,9,0,1,28,0,1,1
110,18,9,0,1,48,0,1,1
111,28,10,0,0,40,0,1,1
112,29,11,0,0,40,1,1,1
113,20,9,0,1,20,0,0,0
114,40,10,0,0,40,0,1,1
115,26,9,0,0,40,0,1,1
116,46,9,0,0,40,0,1,1
117,23,7,0,1,24,0,1,1
118,44,9,0,1,40,0,1,1
119,43,13,0,1,40,1,1,1
120,31,13,0,1,60,0,1,1
121,18,10,0,1,25,0,1,1
122,19,10,0,0,30,0,1,1
123,41,10,0,1,40,0,1,1
124,41,9,0,1,40,0,1,1
125,69,9,0,1,25,0,1,1
126,48,16,0,1,40,1,1,1
127,28,9,0,0,40,0,1,1
128,27,9,0,0,60,1,1,1
129,41,14,0,0,50,1,1,1
130,41,10,0,0,40,0,1,1
131,24,9,1,1,40,0,1,1
132,20,9,0,1,40,0,0,0
133,42,16,0,0,41,1,1,1
134,57,9,1,0,48,0,1,1
135,30,12,0,1,40,0,1,1
136,36,9,0,0,60,1,1,1
137,49,4,1,0,40,0,1,1
138,33,9,0,1,35,0,1,1
139,23,6,0,0,40,0,1,1
140,46,14,0,0,40,0,1,1
141,18,10,3,1,22,0,1,1
142,40,9,0,0,55,1,1,1
143,43,9,0,0,45,1,1,1
144,34,14,0,1,30,0,1,1
145,47,9,0,1,30,0,1,1
146,44,11,0,1,30,0,1,1
147,33,9,0,0,40,1,1,1
148,55,13,0,0,50,1,1,1
149,19,9,0,0,30,0,1,1
150,28,10,1,0,14,0,1,1
151,27,7,1,1,32,0,1,1
152,50,4,0,0,20,0,1,1
153,22,7,0,0,40,0,1,1
154,40,13,0,0,45,1,1,1
155,25,10,0,1,40,0,1,1
156,26,9,0,0,40,0,1,1
157,22,13,0,0,25,0,1,1
158,42,10,1,1,40,0,1,1
159,38,13,0,0,40,0,1,1
160,55,7,0,0,30,0,1,1
161,32,9,0,0,40,0,1,1
162,22,9,0,0,45,0,1,1
163,29,13,0,0,40,0,1,1
164,46,14,0,0,45,1,1,1
165,31,10,0,0,40,1,1,1
166,58,16,0,0,16,1,1,1
167,42,9,0,0,45,0,1,1
168,18,9,0,0,25,0,1,1
169,58,9,0,0,33,0,1,1
170,54,9,0,0,40,1,1,1
171,34,14,0,0,40,0,1,1
172,26,13,0,1,40,0,1,1
173,61,8,0,0,60,0,1,1
174,48,14,1,1,40,0,1,1
175,36,10,0,0,45,1,1,1
176,24,11,0,0,45,0,1,1
177,40,10,0,0,37,0,1,1
178,33,9,0,0,50,1,1,1
179,37,10,0,0,40,1,1,1
180,34,14,0,0,40,0,1,1
181,56,10,0,0,40,1,1,1
182,28,9,0,1,38,1,0,0
183,37,13,0,1,55,0,1,1
184,44,9,1,1,40,0,1,1
185,64,10,0,0,8,0,0,0
186,54,9,0,0,45,0,1,1
187,23,9,0,0,50,0,1,1
188,34,13,1,0,40,0,1,1
189,22,9,0,1,45,0,1,1
190,33,13,0,0,40,1,1,1
191,39,13,0,0,50,1,1,1
192,47,10,1,1,37,0,1,1
193,79,4,0,0,40,0,0,0
194,26,9,1,1,55,0,1,1
195,31,10,0,1,40,0,1,1
196,44,10,0,0,45,0,1,1
197,42,15,0,1,50,1,1,1
198,19,9,0,1,40,0,1,1
199,27,9,0,0,40,1,1,1
200,51,10,0,0,40,1,1,1
201,28,13,0,0,50,0,1,1
202,57,13,0,0,45,0,1,1
203,45,13,0,1,40,0,1,1
204,50,11,0,0,40,1,1,1
205,34,13,0,0,54,0,1,1
206,45,4,1,0,40,0,1,1
207,73,9,0,0,20,0,1,1
208,34,13,0,1,50,1,1,1
209,31,10,0,0,55,1,1,1
210,19,7,0,0,12,0,1,1
211,25,10,0,1,50,0,1,1
212,38,11,0,1,40,0,1,1
213,39,13,0,0,40,0,1,1
214,23,13,1,1,32,0,1,1
215,49,9,0,0,40,0,1,1
216,33,9,0,0,32,0,1,1
217,21,3,0,0,38,0,1,1
218,31,11,0,0,40,0,1,1
219,23,13,0,1,45,0,1,1
220,34,13,3,0,40,0,1,1
221,25,9,3,1,40,0,1,1
222,39,9,0,0,40,0,1,1
223,52,9,0,0,40,1,1,1
224,63,5,0,0,40,1,1,1
225,41,10,0,0,40,0,1,1
226,46,13,0,0,38,1,1,1
227,53,9,0,0,40,0,1,1
228,25,5,0,1,40,0,0,0
229,77,10,0,0,35,0,0,0
230,18,8,0,0,40,0,1,1
231,38,15,0,0,50,0,1,1
232,55,14,3,1,50,0,1,1
233,34,9,0,0,40,1,1,1
234,80,9,0,0,30,0,1,1
235,34,11,0,1,60,0,1,1
236,52,10,0,0,40,0,1,1
237,42,9,1,1,28,0,1,1
238,26,10,0,1,40,0,1,1
239,31,9,0,0,40,0,1,1
240,25,9,0,1,35,0,1,1
241,55,9,0,0,60,0,1,1
242,19,10,0,1,12,0,1,1
243,62,10,0,0,32,0,1,1
244,22,10,0,1,20,0,1,1
245,39,9,0,1,50,0,0,0
246,35,9,0,0,40,0,1,1
247,28,9,0,1,40,0,1,1
248,47,9,0,0,70,1,1,1
249,44,9,0,0,40,0,1,1
250,21,10,0,0,15,0,1,1
251,35,11,0,0,50,0,1,1
252,24,13,0,0,40,1,1,1
253,42,13,0,0,40,0,1,1
254,28,13,0,0,50,0,1,1
255,21,10,0,0,35,0,1,1
256,62,10,1,0,40,0,1,1
257,39,9,1,1,40,0,1,1
258,30,9,0,0,40,0,1,1
259,72,15,0,0,20,0,1,1
260,50,10,0,1,50,0,1,1
261,28,14,0,0,40,0,1,1
262,29,10,0,1,40,0,1,1
263,26,13,0,1,40,0,1,1
264,27,14,0,1,40,0,1,1
265,29,10,0,0,40,1,1,1
266,61,9,0,0,40,0,0,0
267,29,6,0,0,25,0,1,1
268,21,10,0,1,30,0,0,0
269,31,7,0,1,20,0,1,1
270,25,9,0,0,75,0,1,1
271,58,6,0,0,40,1,1,1
272,64,10,0,1,40,1,1,1
273,46,14,0,0,38,0,1,1
274,53,9,0,0,35,1,0,0
275,19,9,2,1,35,0,1,1
276,42,9,1,0,52,0,1,1
277,18,7,0,0,24,0,1,1
278,58,13,0,0,50,1,1,1
279,20,10,1,0,60,0,1,1
280,35,9,0,0,40,1,1,1
281,32,9,0,0,38,1,1,1
282,23,9,0,1,25,0,1,1
283,31,10,0,1,40,0,1,1
284,33,13,1,0,55,0,1,1
285,41,10,0,1,48,0,1,1
286,22,9,1,0,40,0,1,1
287,46,10,0,0,40,1,1,1
288,61,10,1,0,40,0,1,1
289,30,9,1,0,40,0,1,1
290,42,9,0,0,55,1,1,1
291,63,6,0,0,40,0,1,1
292,26,10,0,0,40,0,1,1
293,42,6,0,1,40,0,1,1
294,23,10,0,0,40,0,1,1
295,25,9,0,0,40,0,1,1
296,30,5,0,0,32,1,1,1
297,23,9,0,0,40,0,1,1
298,34,11,0,0,60,1,1,1
299,30,9,0,0,48,0,1,1
300,39,10,0,0,40,1,1,1
301,30,7,0,0,38,0,1,1
302,38,10,0,1,38,0,1,1
303,26,9,0,1,40,0,1,1
304,20,10,0,0,16,0,1,1
305,37,13,1,0,40,0,1,1
306,33,9,0,1,40,0,1,1
307,24,13,0,0,40,0,1,1
308,42,13,0,0,60,1,1,1
309,51,9,3,0,84,0,1,1
310,56,12,0,0,45,1,1,1
311,22,10,0,0,40,0,1,1
312,52,10,0,0,60,0,1,1
313,44,13,0,1,45,1,1,1
314,34,9,0,1,35,0,1,1
315,51,10,0,0,42,1,1,1
316,20,10,0,0,40,0,0,0
317,19,10,0,1,25,0,1,1
318,37,13,0,0,40,1,1,1
319,68,9,1,0,40,1,1,1
320,22,10,0,0,40,0,1,1
321,56,13,0,0,40,0,1,1
322,37,9,0,0,40,0,1,1
323,52,2,0,0,40,0,1,1
324,26,9,0,0,40,0,1,1
325,33,14,0,0,50,0,1,1
326,45,14,0,1,42,0,1,1
327,18,7,0,0,15,0,1,1
328,43,10,0,0,60,1,1,1
329,64,16,0,0,50,1,1,1
330,18,9,0,0,20,0,1,1
331,20,10,0,0,45,0,0,0
332,57,9,0,0,40,1,1,1
333,41,9,0,1,42,0,1,1
334,34,14,0,0,50,1,1,1
335,19,9,0,1,40,0,1,1
336,44,5,0,1,55,0,1,1
337,56,6,0,1,40,0,1,1
338,36,9,0,0,80,0,1,1
339,48,13,0,1,48,0,1,1
340,29,9,0,0,40,1,1,1
