Unnamed: 0,Age,Education_num,Race,Sex,Hours_per_week,Class_ind,Occupation_ind
4050,22,9,1,0,70,1,1
11446,29,9,0,0,55,1,1
12427,74,12,0,0,30,1,1
5702,39,10,0,1,20,1,1
13058,50,9,0,1,55,1,1
13309,33,9,0,1,50,1,1
2762,71,11,0,1,38,1,1
16004,65,9,0,1,40,1,1
7558,49,9,0,0,70,0,0
6372,33,13,0,0,40,1,1
3685,38,14,3,0,40,1,1
5062,22,13,3,0,40,1,1
3602,39,10,0,0,80,1,1
8550,42,9,0,0,40,1,1
11658,30,9,0,0,55,1,1
12658,18,10,0,1,23,1,1
1446,32,10,0,0,50,1,1
7303,67,9,0,0,21,0,0
1020,36,13,0,1,40,1,1
705,32,11,0,1,40,1,1
10302,66,9,1,1,24,1,1
1866,23,10,0,0,40,0,0
8437,22,10,0,0,50,1,1
7728,38,10,0,0,40,1,1
13767,32,15,0,0,55,1,1
12122,23,12,0,1,45,1,1
12760,48,15,0,0,20,1,1
2574,43,13,0,0,40,1,1
13173,55,13,0,1,8,1,1
6017,20,10,0,1,8,1,1
2956,56,9,0,1,40,1,1
9857,57,4,0,0,50,1,1
3742,27,10,1,0,40,1,1
3914,17,6,0,1,14,1,1
13787,51,7,0,0,48,1,1
13382,38,10,0,0,50,1,1
1419,21,9,0,0,40,1,1
1103,17,4,0,0,36,1,1
7316,27,9,0,0,40,1,1
11518,39,14,0,0,60,1,1
8724,29,10,0,0,40,1,1
11021,61,9,0,1,25,1,1
11273,41,9,1,1,40,1,1
1558,42,13,0,0,60,1,1
7606,30,14,0,0,40,1,1
2488,37,14,1,0,40,1,1
8094,54,9,0,0,40,1,1
13958,90,10,0,0,10,1,1
3523,40,11,0,0,15,1,1
4542,43,13,0,1,50,1,1
34,26,9,0,1,40,1,1
3400,24,9,0,0,35,1,1
8661,57,10,0,1,40,1,1
15774,45,9,0,0,60,1,1
12054,35,5,0,1,40,1,1
10328,27,10,0,0,40,1,1
8108,34,10,0,0,66,1,1
2374,33,9,1,1,40,1,1
6237,33,9,0,0,60,1,1
2652,32,13,0,0,50,1,1
5328,32,13,0,0,55,1,1
10235,35,13,0,0,48,1,1
7048,42,10,0,0,50,1,1
9063,18,9,0,1,30,1,1
13225,53,6,0,0,45,1,1
13280,46,9,1,0,40,1,1
8051,33,13,0,0,45,1,1
12848,18,7,0,0,15,1,1
292,26,10,0,0,40,1,1
2836,24,9,0,0,25,1,1
15601,48,10,0,0,65,1,1
8509,22,10,0,0,60,1,1
12581,55,3,1,0,40,1,1
2870,30,9,0,0,45,1,1
8631,38,13,0,0,40,1,1
8293,39,8,0,0,50,1,1
8343,71,3,0,0,40,1,1
